Date,AQI
2019-01-18 00:00:00,397
2019-01-19 00:00:00,378
2019-01-20 00:00:00,404
2019-01-21 00:00:00,346
2019-01-22 00:00:00,104
2019-01-23 00:00:00,212
2019-01-24 00:00:00,311
2019-01-25 00:00:00,151
2019-01-26 00:00:00,233
2019-01-27 00:00:00,262
2019-01-28 00:00:00,267
2019-01-29 00:00:00,276
2019-01-30 00:00:00,327
2019-01-31 00:00:00,359
2019-02-01 00:00:00,306
2019-02-02 00:00:00,332
2019-02-03 00:00:00,289
2019-02-04 00:00:00,288
2019-02-05 00:00:00,382
2019-02-06 00:00:00,352
2019-02-07 00:00:00,176
2019-02-08 00:00:00,144
2019-02-09 00:00:00,158
2019-02-10 00:00:00,276
2019-02-11 00:00:00,309
2019-02-12 00:00:00,342
2019-02-13 00:00:00,367
2019-02-14 00:00:00,340
2019-02-15 00:00:00,245
2019-02-16 00:00:00,276
2019-02-17 00:00:00,222
2019-02-18 00:00:00,255
2019-02-19 00:00:00,221
2019-02-20 00:00:00,271
2019-02-21 00:00:00,144
2019-02-22 00:00:00,186
2019-02-23 00:00:00,113
2019-02-24 00:00:00,190
2019-02-25 00:00:00,217
2019-02-26 00:00:00,116
2019-02-27 00:00:00,100
2019-02-28 00:00:00,170
2019-03-01 00:00:00,225
2019-03-02 00:00:00,217
2019-03-03 00:00:00,117
2019-03-04 00:00:00,234
2019-03-05 00:00:00,140
2019-03-06 00:00:00,186
2019-03-07 00:00:00,217
2019-03-08 00:00:00,197
2019-03-09 00:00:00,187
2019-03-10 00:00:00,160
2019-03-11 00:00:00,187
2019-03-12 00:00:00,134
2019-03-13 00:00:00,178
2019-03-14 00:00:00,266
2019-03-15 00:00:00,154
2019-03-16 00:00:00,139
2019-03-17 00:00:00,192
2019-03-18 00:00:00,196
2019-03-19 00:00:00,216
2019-03-20 00:00:00,208
2019-03-21 00:00:00,242
2019-03-22 00:00:00,114
2019-03-23 00:00:00,132
2019-03-24 00:00:00,121
2019-03-25 00:00:00,139
2019-03-26 00:00:00,159
2019-03-27 00:00:00,171
2019-03-28 00:00:00,234
2019-03-29 00:00:00,232
2019-03-30 00:00:00,233
2019-03-31 00:00:00,182
2019-04-01 00:00:00,151
2019-04-02 00:00:00,198
2019-04-03 00:00:00,187
2019-04-04 00:00:00,254
2019-04-05 00:00:00,264
2019-04-06 00:00:00,266
2019-04-07 00:00:00,302
2019-04-08 00:00:00,264
2019-04-09 00:00:00,204
2019-04-10 00:00:00,238
2019-04-11 00:00:00,183
2019-04-12 00:00:00,212
2019-04-13 00:00:00,170
2019-04-14 00:00:00,137
2019-04-15 00:00:00,168
2019-04-16 00:00:00,180
2019-04-17 00:00:00,84
2019-04-18 00:00:00,114
2019-04-19 00:00:00,157
2019-04-20 00:00:00,198
2019-04-21 00:00:00,203
2019-04-22 00:00:00,236
2019-04-23 00:00:00,247
2019-04-24 00:00:00,221
2019-04-25 00:00:00,251
2019-04-26 00:00:00,215
2019-04-27 00:00:00,256
2019-04-28 00:00:00,264
2019-04-29 00:00:00,248
2019-04-30 00:00:00,250
2019-05-01 00:00:00,295
2019-05-02 00:00:00,257
2019-05-03 00:00:00,183
2019-05-04 00:00:00,182
2019-05-05 00:00:00,227
2019-05-06 00:00:00,249
2019-05-07 00:00:00,294
2019-05-08 00:00:00,357
2019-05-09 00:00:00,347
2019-05-10 00:00:00,277
2019-05-11 00:00:00,251
2019-05-12 00:00:00,334
2019-05-13 00:00:00,322
2019-05-14 00:00:00,153
2019-05-15 00:00:00,186
2019-05-16 00:00:00,187
2019-05-17 00:00:00,265
2019-05-18 00:00:00,105
2019-05-19 00:00:00,185
2019-05-20 00:00:00,206
2019-05-21 00:00:00,190
2019-05-22 00:00:00,158
2019-05-23 00:00:00,223
2019-05-24 00:00:00,123
2019-05-25 00:00:00,121
2019-05-26 00:00:00,142
2019-05-27 00:00:00,160
2019-05-28 00:00:00,177
2019-05-29 00:00:00,185
2019-05-30 00:00:00,218
2019-05-31 00:00:00,280
2019-06-01 00:00:00,264
2019-06-02 00:00:00,201
2019-06-03 00:00:00,261
2019-06-04 00:00:00,169
2019-06-05 00:00:00,192
2019-06-06 00:00:00,206
2019-06-07 00:00:00,173
2019-06-08 00:00:00,181
2019-06-09 00:00:00,239
2019-06-10 00:00:00,207
2019-06-11 00:00:00,307
2019-06-12 00:00:00,233
2019-06-13 00:00:00,175
2019-06-14 00:00:00,171
2019-06-15 00:00:00,224
2019-06-16 00:00:00,178
2019-06-17 00:00:00,123
2019-06-18 00:00:00,97
2019-06-19 00:00:00,199
2019-06-20 00:00:00,141
2019-06-21 00:00:00,177
2019-06-22 00:00:00,189
2019-06-23 00:00:00,148
2019-06-24 00:00:00,109
2019-06-25 00:00:00,133
2019-06-26 00:00:00,162
2019-06-27 00:00:00,184
2019-06-28 00:00:00,191
2019-06-29 00:00:00,231
2019-06-30 00:00:00,237
2019-07-01 00:00:00,183
2019-07-02 00:00:00,218
2019-07-03 00:00:00,136
2019-07-04 00:00:00,103
2019-07-05 00:00:00,106
2019-07-06 00:00:00,88
2019-07-07 00:00:00,91
2019-07-08 00:00:00,127
2019-07-09 00:00:00,126
2019-07-10 00:00:00,148
2019-07-11 00:00:00,317
2019-07-12 00:00:00,272
2019-07-13 00:00:00,275
2019-07-14 00:00:00,235
2019-07-15 00:00:00,168
2019-07-16 00:00:00,93
2019-07-17 00:00:00,73
2019-07-18 00:00:00,85
2019-07-19 00:00:00,145
2019-07-20 00:00:00,124
2019-07-21 00:00:00,108
2019-07-22 00:00:00,112
2019-07-23 00:00:00,148
2019-07-24 00:00:00,164
2019-07-25 00:00:00,78
2019-07-26 00:00:00,81
2019-07-27 00:00:00,61
2019-07-28 00:00:00,64
2019-07-29 00:00:00,65
2019-07-30 00:00:00,80
2019-07-31 00:00:00,80
2019-08-01 00:00:00,89
2019-08-02 00:00:00,84
2019-08-03 00:00:00,89
2019-08-04 00:00:00,87
2019-08-05 00:00:00,105
2019-08-06 00:00:00,76
2019-08-07 00:00:00,75
2019-08-08 00:00:00,79
2019-08-09 00:00:00,75
2019-08-10 00:00:00,59
2019-08-11 00:00:00,68
2019-08-12 00:00:00,57
2019-08-13 00:00:00,69
2019-08-14 00:00:00,63
2019-08-15 00:00:00,75
2019-08-16 00:00:00,53
2019-08-17 00:00:00,49
2019-08-18 00:00:00,49
2019-08-19 00:00:00,81
2019-08-20 00:00:00,97
2019-08-21 00:00:00,109
